"","Compound","EA_138_P(raw)","EA_171_P(raw)","EA_182_P(raw)","EA_263_P(raw)","EA_287_P(raw)","EA_39_P(raw)","EA_452_P(raw)","EA_53_P(raw)","EA_535_P(raw)","EA_548_P(raw)","EA_573_P(raw)","EA_579_P(raw)","EA_591_P(raw)","EA_617_P(raw)","EA_62_P(raw)","EA_629_P(raw)","EA_630_P(raw)","EA_65_P(raw)","EA_740_P(raw)","EA_79_P(raw)","EA_90_P(raw)","EA_965_P(raw)","EA_966_P(raw)","EA_994_P(raw)","EA_138_P_2(raw)","EA_171_P_2(raw)","EA_182_P_2(raw)","EA_263_P_2(raw)","EA_287_P_2(raw)","EA_39_P_2(raw)","EA_452_P_2(raw)","EA_53_P_2(raw)","EA_535_P_2(raw)","EA_548_P_2(raw)","EA_573_P_2(raw)","EA_579_P_2(raw)","EA_591_P_2(raw)","EA_617_P_2(raw)","EA_62_P_2(raw)","EA_629_P_2(raw)","EA_630_P_2(raw)","EA_65_P_2(raw)","EA_740_P_2(raw)","EA_79_P_2(raw)","EA_90_P_2(raw)","EA_965_P_2(raw)","EA_966_P_2(raw)","EA_994_P_2(raw)"
"1199","499.9375@5.713006","49957","56311","26572","12524","22075","22497","21673","22952","16622","39573",NA,"28512","16709","17922","28011","26996","45826","34716","21306",NA,"25560","13603","30753","31471","30041",NA,NA,"9650","13586","13856","18347",NA,"15032","45003","9898","17487","12266","14863","21553","20021",NA,"25597","16868","15629","17483","8038","26960","28875"
"1200","671.2959@5.713006","53289","62896",NA,"53111","58927","52260","58831",NA,"53865","60217","58251","57095","50848","58937","56911","56291","55493","57316","58008","56813","56990","54473","59736","53753","55997","53318","53381","54230","51144","54994",NA,"54963","57141","57295","53375","52354","55488","55094",NA,"47137","54152","56570","58282","58989","56026","52293",NA,"57652"
"1201","623.3426@3.9960015","22266","31380","47529","31103","25604","82677","9581","23129","13738","37242","27010","155728","22051","20453",NA,"42501",NA,"20461","32169","40202","33893","19791","30001","13806","26970","23394","410232","59564","29694","69280",NA,"23380","24056","47832","17546","226664","23809","55718","52511","45241","20473","40813","37772","28039","49968","115618","118558","15728"
"1202","173.9983@0.61399937","426908","41635","279228",NA,"76205","69212","120157","56097","174889","61365","261311","144878","153554","53864","108283","94213","137659","76118","57199","46417","38282","92541","101153","26080","546915","75500","38690","40958","83030","78847","648353","44417","184115","66584","49443",NA,"243542","126402",NA,"117061","46903",NA,NA,"91567","21973","512580","69114","36108"
"1203","557.3254@5.8689976","132910","191096","150402","126041","157679","135415","116262","128757","117190","149568",NA,"133599","156013","137423","152914","136867","160295","113584","101276","135838","187665","144984",NA,"141974","145050",NA,"106366","114656","119820",NA,NA,NA,NA,"183391","121480","93895","138040","127034","154097",NA,NA,"100338","94793","132002","138963","150778",NA,"119669"
"1204","609.3256@5.5949984","214583",NA,"271181","189727","215518","214130","208461","223259","226993","271468","280199","271638","247436","217337","190675","247301","310135","188899","193372","264760","212692","228629","290613","251941","235410","237617","208190","202832","207473","194502","184277","180939","233668","272112","157950","185565","186589","203518",NA,"180070","278433","205394","179184","231480","212333",NA,"196856","184819"
"1205","842.5745@9.020997","188784","178806","140425","210394",NA,"109940","183239",NA,"174584","86743","197722","NaN","184600","148353","144064","NaN","156853","110761","188547","194022",NA,"90509","154572","178461",NA,"151702","115171","236936","154588","125742","106079","131732","178023","125372",NA,"110721","197481","149444","122610","146077","173303","NaN","173640","180830","NaN",NA,"130522","215090"
"1206","917.5102@10.200008",NA,"22167","15629","27673","30036","24225","28795","34316","26538","24252","30749","21543","32284","23957","23644","15652","24806","25562","22479","25062","17737","15847","30353","31119","29256","18656","20403","23140","26542",NA,"21268","30595","24491",NA,"27163","26543","27151","24189","24371","16231",NA,"31163","27481","30611","21792","23567","30408","31944"
"1207","831.5022@9.520006","29601","16425","21246","13762",NA,"6999",NA,"5655","25283","4492","31833","6708","12166","18090","14240",NA,"21032","21664","18208","15193","16320",NA,"12450","5944","12787","8659","15285","21304","28958","11405","14321","12012","39717","18032","60901","10375","34791",NA,"5181","17049","26419","8737","21780","13323","7589","35692","25380","24071"
"1208","817.5461@8.007005","2147205","2165838","2541154","3320558",NA,"3411644","2606059","2815836","2568353","4130552","3083530","5346782","4358997","2039495","2860853","2520494","2923954","1533268","2297624","2747793","2801920",NA,"2770783","2735719","3274252","2142965","1974116","3172537","2423676","1571291","2291471",NA,"2493628","2544947","866907","2862202","1423685","1675291","4359240","1967159","2475746","3219204","1319668",NA,"2045591","2225084","1504705","1083343"
