"","Compound","EA_138_P(raw)","EA_171_P(raw)","EA_182_P(raw)","EA_263_P(raw)","EA_287_P(raw)","EA_39_P(raw)","EA_452_P(raw)","EA_53_P(raw)","EA_535_P(raw)","EA_548_P(raw)","EA_573_P(raw)","EA_579_P(raw)","EA_591_P(raw)","EA_617_P(raw)","EA_62_P(raw)","EA_629_P(raw)","EA_630_P(raw)","EA_65_P(raw)","EA_740_P(raw)","EA_79_P(raw)","EA_90_P(raw)","EA_965_P(raw)","EA_966_P(raw)","EA_994_P(raw)","EA_138_P_2(raw)","EA_171_P_2(raw)","EA_182_P_2(raw)","EA_263_P_2(raw)","EA_287_P_2(raw)","EA_39_P_2(raw)","EA_452_P_2(raw)","EA_53_P_2(raw)","EA_535_P_2(raw)","EA_548_P_2(raw)","EA_573_P_2(raw)","EA_579_P_2(raw)","EA_591_P_2(raw)","EA_617_P_2(raw)","EA_62_P_2(raw)","EA_629_P_2(raw)","EA_630_P_2(raw)","EA_65_P_2(raw)","EA_740_P_2(raw)","EA_79_P_2(raw)","EA_90_P_2(raw)","EA_965_P_2(raw)","EA_966_P_2(raw)","EA_994_P_2(raw)"
"623","498.1236@3.6530042","7830","11359","14326","8327","4665","18117","12872","11995","1597","7973","5368","8326","4156",NA,"17051","6080","6748","9385","9581","3969","9350","21753","535","2420",NA,"9095","8728","11449",NA,"14716","10947","11032","1007","10141","4485","5434","3646","4843","14856","5958","4563","8038","11193","3179",NA,"2610","451","1716"
"624","230.9097@0.32200015","19410","5539","9079","13830","8525","8883","41181","19381","9642","11804","6147",NA,"10000","14452","10416","6809","9201","6994","10882","6526","8286","19025","49121","6756","8370","6962",NA,"11465","20584","8461","7226","18172","11152","10198","5301","15986","10457","18204","13959","6417","6181","18798",NA,"5917","7386","13708","43941","22574"
"625","586.3582@6.3109984","20344","30923","28615","21210",NA,"22176","23234","19553","21774","27118","29112","23844","24008","22394","23091","27548","25031","17441","17671","27040",NA,"19675","26290","30521","21870","22021","23615","22247","24181","22802","21347","17621","25189","31922","17910","20618","19878","19246",NA,"19714","24828","22198","19102","26783",NA,"17276","18835","21988"
"626","455.1595@3.910003","7474","11623","10472","9547","5325","10524","10962","18518","3172",NA,"11219","6002","5733","6019","10292","4019","9306","4478","4233",NA,"12038","13485","664","566","4752","10867","14870","12052","4984",NA,"13381","13689","1390","8695","8876","4866","7003","3287","10390","3580","8490","4816","6509","1804","2590",NA,"1185","1141"
"627","184.8553@0.25900024","58847","20336",NA,"32264","24298","29570","36990","17551","26751","23528","41867","15497","31503","25836","36603","35416","32727","23446","29771",NA,"33422","45487","30990","26918","41645","30522","43569","49031","27412","29509","31900","28889","32247","38641",NA,"33421","44791","36769","41818","41423","27564",NA,"30319","36186","27240","31130","15279",NA
"628","682.2614@5.715","32006","29040","29807",NA,"27556","29049","29993","32715","30845","27285","34096","27477","33634","30383",NA,"32239","31848","30481","27614","33327","30870","31349",NA,"33421","34232",NA,"32914","32069","27642","29435","28799","32543",NA,"28265","30461","31769",NA,"31820","29836","29445","29204","29339","31121","31278","28523","28315","32983",NA
"629","280.2029@5.1719975","3508","12467","5236","890","3486","8113","9038","2567","6585","3197","4990",NA,"16261","5334","2894","765","9807","249","504","1962","3896",NA,"7006","11010","3258",NA,NA,"2259","5003","10947","923",NA,"4150","2187","4645","1632","1983","5457","5840","2105","12202","697","2844","1453","6236","1407","4083","3313"
"630","881.595@7.216003","74092","85947","82714","140657","90511","118479","86610","90962","99430","243851","114709","785725",NA,"46394","93457","81672","55944","53727","66096","156224","125249","95185",NA,"87802",NA,"132726",NA,"114315","115561","82435","79690","61989","81552","68672","27395","167428","29492","52428","125980","55062",NA,"93252","44841","147446","100113","46424","41447","31757"
"631","673.5222@0.23399988","9971","8418","9675","7933","8012","8984","8826","9622","9449",NA,"7260","7924","9677","8794","9872","7790","9038","9603","8920","8539","8619","8939","9123","9493","9251","8448","10140","9838","9481","7965","8627","9134","11117",NA,"10307","9580","9328","8587","8430","9219","9889","8867","7862","6273","8720","7567","7690",NA
"632","228.9124@0.32200012","46724","12891","20948","33409","17948","17946","88162","44617","19775","25997",NA,"13056","20498","32644","21286","19212","19984","15215","21999","14892",NA,"43676","108168","13241","17975","14846","27141","30570","46397","18298",NA,NA,"23124","21514","14646","32972","24240","41277","30253","15479",NA,"42937","26578","12798","17303","28369","98518","51815"
"633","330.1832@3.2929995","14455","7795","11829","9258","7837","12361","10425","10528","7930",NA,"7561","7754","8885","5959","13428","11720","9013","9016","7777","11452",NA,"9721","4630","8666",NA,"8419","13873","7677","7239",NA,"8799","8619","8635","11534","6968",NA,"9144","9833","9953","11899","12550","7838","9022","11348","9706","10382","7635","11331"
"634","426.2079@4.350004","16825","12126","11307","30095",NA,"11155","4876","11433","7676","9863","14354",NA,"16111","14579","5692","8666","12722","5515","5053",NA,"11764","3621","11950","22722","8853","13386","20828",NA,"10054","7520","5827","11777",NA,"11171","13267","3276","19992","12023","4112","13902","15056","6445","11382","15354","12727","15493","8635","28175"
"635","936.484@7.981996","68092","85351","74138","70038","75489","79653","87381","61242","118796","114000","89754","4272","96769","67771","68437","67595","108446","42949","83121","89928","100773","94590","108042","88213","85182","113747","87187","94032","107152",NA,"82903","96285","104800",NA,"28538","115773","54749","85421","101140","74975","97256","69495","67478",NA,"96199","69486",NA,"59837"
"636","555.3092@5.406004","28852","32594","30262","24744","26795","25741","19723","24910","25965","30199","36522","27412","34143","29278","38941","24361","32666","29757","23534","28064","31946","27244","32825","24504","32533",NA,"22625","29944","20710","20894","23478","24975","24484","38767","24697","19556","26549",NA,"45437","25740","34560","25081","22225",NA,"31184","39311","23289","28013"
"637","430.1617@0.55400056","11296","7082","7350",NA,"7387","14261","6050","10137","7707","6993","10190","8360","8359","8950","9531","10664",NA,"14665","6067","8758","8383","15269","4898","6768","4945","6954","8133","6726","5325","14118","5537","6916","8735","10262","7367","7958","7288","6333","9306","10601","7436","10482","10754","8540","7554","8187","4559","8110"
"638","606.245@3.6619978","6333","5324","9753","1459",NA,"8951",NA,"12921","4919","NaN","1795","NaN","2171","8798","4759","4830","3792","5272","5915","21152","5527","4193","13979","4117","1476",NA,"2897","940","4848",NA,"1054","2581","3212","5668",NA,"1819","23243","10016","2448",NA,"4869","395","11700","1006","1222","10988","27322",NA
"639","581.3258@5.744997","5431","9916","9955","9211","9780","6007","7866","5510","12439","5607","11570","11017","6977","7608","10827",NA,NA,NA,"8705","9557","10270","10577",NA,"6959","6203","9816","7499","6193","9252","6399",NA,"6267","11408",NA,NA,"7068","10776","10228","10920","9487",NA,"7212","7749","9869","6955","12627","7317","10045"
"640","589.3386@5.517001","1098294","1714199",NA,"984733","1665727","1043309","1477887","1099922","1401041","1068030","1440403","1119604","1926489","1547181","1902968","2356321",NA,"1116314","1066447","1468265",NA,"1509278","1540564","1098567","946654","1464693","1851341","993540",NA,"689908","1475694","1134150","1196700","1545226","1230854",NA,NA,"1393464","1648382","1590703","1872461","1431808","938234",NA,"1389643","845000","1143688","1338137"
"641","763.5683@10.341002","19575",NA,"7708","6181","9389","6825","8280","8710","10499","6705","7551","4258","8120","6652","7528","4124","9476","3651","10059","12761","12028","25495","7026","11456","14996","5700","5948","12345","8817","7990","4305","6504","7019",NA,"4388","6691","6033","6467","6482","5172","10013","5167","7249","8177","7739","5599","6013","12485"
"642","493.3535@7.064005","11627","20872","17834","9443","12275","12502","15125","19371","9844","13937","14622","12933","22663","21844","17782","20121","22350","13988","10899","19296","21632",NA,"15258","17056","19633","21654","16360","14415","12927","13758","19319","15147","13336","19042","10692","13487","15846","15675","34969","15622","22800","28071","10175","23418","40944","14825","14818","14180"
"643","356.0208@2.4949982","11281","7200",NA,"4234",NA,"3306","2161","2928","2956","6945","2230","1826","3403","5670","2979","2251",NA,"3644","2620","6533","3964","2958","7162","5515","9435","3890",NA,"4506","3183","2222","1770","1753","4590","4748","2233",NA,"1782","7430","2548","1338","2792","5780","3137","5140","1713","4442","2519",NA
"644","553.2532@2.6790004","8721","19045","13087","34920","10503","6037","13559","3412",NA,"7458","9062","19778","15596","1107","5379","11545","12620","10151","5042","7324","7554",NA,"5528","4556","20804","10279",NA,"35627",NA,"13175","8936","5310","40086","3165","15816","39077","17148","8443","6345","16120","26437","4304","9650","23881","14419","18821","7099","12949"
"645","485.1823@2.5359986","21382",NA,"12011",NA,NA,"10820","16461","5182","7976","5932","1503","6356",NA,"7929","13506","NaN","NaN","7728","9943","7601","11078","2193","21277","357","19978","14921","22538","9655","29011","15287","20450","18426",NA,"11970","21999","21894","7347","16357","10629","14971","11161","22045","9495","20200","16092","7485","28862",NA
"646","412.2231@6.120997","7859","23756",NA,"4381","7940","6409","6250","13841","2388","8006","10710","11305","7745","20936","5596","15981","23628","7127",NA,"8245","3249","8352","11243","10219","20278","6880","6748","17295","7079","12243","9421","13125","6439","7814","3923","7429","5063","5941","9063","5508","10454","14754","6394",NA,"9482","6967",NA,"8962"
"647","714.2914@6.3109984","69734","81036","82610",NA,"78633","75868","64642","72747","67384","72887","94248","84450","102453",NA,"66179",NA,"70444","82149","61391","86666","67695","63857","83215","98613",NA,"80043","91766","74092","75133","85289","64053","72845","75430","78740","67553","66533","67693","71378","65595","67547","73825","70553","59983","77243","75435","55483","69488","65150"
"648","997.4961@10.002994","49356","58610","64523",NA,"68942","52481","63500","60598","71966","56552","68534","80432","62537","66099","67695","65633",NA,"46974","69285","63729","68455","70795","52485","62283","60407","64802","69317","71201","62179","70526",NA,"65500",NA,NA,"67407","70458","71008","72787","64885","71449","73443","41289","68793",NA,"62195","72924","65014","69744"
"649","849.4909@10.3359995","32677","19151","18769",NA,"23087","17934","17710","20623","24948",NA,"20048",NA,"25560","22573","22412","19233","25330","22344","22028","19288",NA,"20144","24551","22993","26236","20727","23747","23383",NA,"20515","15478","21151","31016","22948","25338","19463","21042","22885","25331","21479","25970","23692","25180","19028","18958","21928","24183","26729"
"650","582.2901@5.112","3319","4401","5741","4592","7324","3852",NA,"4630","7856","5672","8601","5731","5440","4382","3327","3467","8835","7046",NA,NA,"2588","4608","5693","5919","8761","4099","3651",NA,"4394","4189","2963","3303","6823","5958","5200","3623","3198","4915","3423","4586","8188","5337","3053","5268","2499","3462","3544","3433"
"651","554.2544@3.9109986","NaN",NA,NA,"446707","884","2518","1267","1601","NaN","NaN","710","NaN","774","NaN","1542","681","NaN","1177","864","4039","NaN","NaN","NaN","1661","47174","193","703","268582","4630","NaN","468","483","NaN","792",NA,"6626","2848","624","NaN","614","1904","NaN","NaN","NaN","555","1331","341","NaN"
"652","705.343@6.1950054","20991","32180","31419","19227","28298","25420","19396","22521","21616","25253","32039","24316","31306","21271",NA,"24303","24815","18975","19820","30946","20131","19680",NA,"29094","24763","26026","23529","23804","22967","22453","22320",NA,"25735","26675","18507","18024","19528","18126","21101","19077","28305","21089","17920","29754","24550","15747","17592","19365"
"653","830.6502@10.877008","469544","308004","209605","227556","306604","181032","310238","289939","255156","164088","288510","181254","300763","219607","258567","265786","319278","209750",NA,"316031","237626","185680","253411","326358","307755","242288",NA,NA,"305405","174860",NA,"248606","281548","232869","208496","132122","283447","231764","263421","200632","269324","285501","213984","297594","163936","212233","77958",NA
"654","785.2854@6.1950054","6308","11337","9956","6219","9058","7878","6494","6728","6212",NA,"13925","8732","8945","7371","6678","8844","9644",NA,"7040","8927","7306","6750","15816","10031","8398","7707",NA,"7006","13019","6878","6773","5912","7947","8586","4943","5759","6711","6455","7586","5709",NA,"6117",NA,"10250","8441","4842",NA,"6778"
"655","166.0491@0.33799982","16106","19533","6973","11367","8330","10133","24048","11899","5240",NA,"34676","10189","10520","7419","14509","23229","22456","16324","25750","28674","13335","14407","25738","7324","13918",NA,"8723","24825","7989","20228","20623","20345",NA,"12377","47971","16232","8193","3492","10134","20566",NA,"14753","13767","22703","7145","9159","8709",NA
"656","815.3929@0.23100023","31488","27924","31557","27024","30868","28439","27036","34976","28855","27580",NA,"26929","31179",NA,"32480","24414","29143","29060","29096",NA,"27247","30654","29764","25222","29124","29742","30136",NA,"23351","24273","21430","30616","31311","26773","27814","22264","31172","29249","29042","29774","29956",NA,NA,"28004","25000","24171","29459","29500"
"657","681.3876@6.466003","27170","46382","38092","43968","46738","38547","42087","34219","50031","79753","56736","163162","49085","26679","25453","40227","52670","19177","33510","50089","38811","46154","51494",NA,"44637","83327","29407","37700",NA,"48959","36703","28051","50986","46434","14810","68298",NA,"30646","52721","30158","46375","40935","19556","62995","43278","22695","28184","23619"
"658","844.5849@9.715011","67875","82108","55459","80676","70234","95837","109733","88487","69731","84211","65315","87948","82302",NA,"59808","103189","63021","55972","102769","70812","52790","72509","74320","100785","87677","117939","70188","80557","66777","69204","90061","75984","71833","34213",NA,"91436",NA,"56850","76961","66147","57936","95438","70512","96755","81247","55787","49793","74696"
"659","498.2799@4.135996","7547","41013","8259","8350",NA,NA,"17634","17192","10050","10566","7978",NA,"28339","12053","10127",NA,"6889","19134","31400","37108","8880","10346","21235","833","9533",NA,"9219","34946","10534",NA,"16146",NA,"13608","59786","15665","37712","218638","5700","4273","9060","40090",NA,NA,"16987","2402","111579","9124","8609"
"660","835.5693@9.692004","57780","33459",NA,"21745","24871","34300","19310","41437","22051","19240","23691","22600","23505","38132","41085","21966","27790","65596","42367","66704","40220","18456","33539",NA,"34990",NA,"25667","39028","26917","19595","20246",NA,"30466","37312",NA,"32393","27873","38155","18304","23087","26242",NA,"43165","37029","29043","33893","38660","45406"
"661","755.3319@6.434","5132","8167","9819","7801","12182","8152","9586","7929","7342","15463",NA,NA,"22462","5909",NA,"11874","11329","3187","5525","10787","5711","7814","14660","7626","8186","12626","10285","6832","13090","7521","8141","5662",NA,"6174","1415","6860","3587",NA,"9717","3835","6507","11109","2157","12783","11881","1087",NA,"1998"
"662","585.362@5.8290014",NA,"8631","12842","11877","12679","7411","9799","9991","8539","8183",NA,"8818","11970","7919","10120","6054","9144","4982",NA,"11703","8959",NA,"14688","9188","10884","8456","12066","13178","14854","7752","7640","9990","12466","9118","15141","9088","12954","8855","7998","6108","22157","4765","8273","11597","6676","13250","13812","12554"
"663","841.5819@5.8699965","7849","40265","24277",NA,"29121","15941","19199","5604","7241","22074",NA,"18042","24359","19938",NA,"22154","35119","4551","7036","10585","10430","26058",NA,"22276","14739","20773","23099","11419","12911","18104","17213","8658","9261","22124","7362","4439","6144","5927","20923","7333",NA,NA,"3967","20408","13165","4964","6785","6226"
"664","974.4451@9.023992","25859","22013","22729",NA,"18420",NA,"23981","20143","22574","21622","23396","17691","25731","17552","21352","25614","21951",NA,"25080","28114","18591","19608","20049","22172","13778","26781","19091","29939","21954","21117","12117",NA,"23973","18158","15326","13219","21571","22246",NA,"22337","21924","15544","22156","16560",NA,"24976","19725","25106"
"665","741.4792@7.1840034",NA,NA,"35559","53123","35675","52947","28436","32665","44136","109099","54750","130367","79355","18456","30695","28503","30453",NA,"33888","57084","41588","33951",NA,"36571","32970","63418","25671","47778","43966","46488","30829","26642","33433","31542","7024","50641","11978","19083",NA,"17264","23152","30774","15094","58390","48157","14136","15897","12561"
"666","505.3163@7.263","4219","5332","14569","9191","5705","8194","3387","2543","2440","8993",NA,"24999","5832","1901",NA,"3007","5214","4282","1860","4794",NA,"4162","6894","5428","12250",NA,"19799","33909",NA,"12718","7506","9594",NA,"7425","3058","5869","3374","1462","7715","4929",NA,"5846","2224","9485","7379","4139","4482","1209"
"667","667.3651@1.8379986","1465","7322","8882","16068","12419","4640","3823","6378","10010","3280","5223","5617","12921","2753","857","2034","2437","1329","11972","1283","2898","NaN","9116","6310","8208","744","3051",NA,NA,"3309","1428","8234","14886","6303","5920",NA,"5440",NA,"672","2349","2128","NaN","6878",NA,"1847","2460","5639","20011"
"668","565.2466@6.460999","10849","18487","19873","12090","8069","17018","12966","15988","10285","13968","17037","14372","20406","19375","18824","17702","23616","17409","12231","20245","18202","21901","19013","19399","22324","24272",NA,NA,"11550","14341","20023","15996","12636","16747","11279","15565","10850","14611",NA,NA,"22654","29258","11696","23375","38104","17072","13981","10736"
"669","993.5893@10.848009",NA,"44616","44858","52152","53628","24137","32414","15984","53664","14050","58167","41499","27040","36904","37840","26901","29148","39663","40415","47251","38856","21848",NA,"26414","20299",NA,"39052",NA,"35409","42919","31783","23409","55247","26132","76882","30965","57030","44254",NA,"40331","48388","18334","49885","42111","14021","43441","36062",NA
"670","298.2506@6.6939926","28936","19794","38918","36617","26481","28558","28471",NA,"20671","24552",NA,"22569","22942","21420","20033","32592",NA,"19717","30692","19726","15233","19804","33443","17177","31177","18629",NA,"47548","29265","24122","30786","31810",NA,NA,"21243",NA,"24744","20571","19659","29758","25277","17948","22196","29910","21174","23471","32279","31745"
"671","533.308@6.460999","13937","23809","25018","13665","9853","21998",NA,"19295","12483","15783","20895","18159","21695","23045","22082","22691","25380","21842","12448","22785","20302","22051","22023","20603","24350","27231","19243","31189","13434","16427",NA,"16747","13263","19669",NA,"17537","11461","16431","35075","18358","23232",NA,"11261","27645","44762","19795","14470","12582"
"672","870.6075@9.892014","33016","29130","19780","27156","32061","24841","32304","27437","30915","23978","26482","20928","34473",NA,"29707","34873","27994","20975","30533",NA,"20141","25991","24598","37871","21742","31171","20087","30351","35975","21807","30736","23795","30399","19239","21025","23846","30058","22644","30164",NA,"26614","30162",NA,"33062","21717","22247","17586","32245"
"673","616.2533@4.2309966","2469","13419","5738","473","185","8805","3638","11501","2274","2690","2077","656","2625","14093","3923","5472","4497","1647","3741","19278",NA,"11652","15713","2940","2112","1441","1893","356","2921","1642","1344","664","578","2854","NaN","2248","13533","6320",NA,"NaN","3005",NA,"4887","1343","589","4309","13809",NA
"674","635.4507@7.3039994","3656","10941","5383","2658","9180","6781","4835","10448","2828","5310","5096","8725","8896","9107","10942","6062","7204","3849","8550","6861","8081",NA,"6092",NA,"4421","7246","3813","2994","7074","5814","5208","7731",NA,"7678","1809",NA,"2971","6858","22276","4666","6066","9313","7994","7406","16109","4510",NA,"5473"
"675","258.2339@6.032002","8808","33182","24975","19286","24479","17263","20674","14542","11203","21189","24499","34195","24817","28030","15728",NA,"45991","7560","11514","14929","8668","30172","19286","20371",NA,"26400","24753","22968","17891","29486","21133","19037","18004","16457","11890","11220","10135","11052",NA,"19838","23429",NA,"6811",NA,"25077","11824","8522","8105"
"676","202.0843@4.8909974","3965","8289","9829",NA,"11082","9583","9304","5928","6125","13529","9881","9108","21052","8923","8486","13236","10557","2207","5738","7573","6632","9997","10108","9738","10385","18212","12473","9350","11466","8717","12009","8019","7371",NA,"2381",NA,"6063","4931","19584","10148","11882","18206","3310","11930","18153","3160","5401","3641"
"677","583.3841@6.5050035","13710","13670","11341","9984","14695","9745","12401",NA,"9003","11317","16589","11887","20618","11455","8923","8121","12809","10022","5274","41094","7383","6267","16485","17709","13152","9955","8978","5468","12955",NA,NA,NA,"10173","11544","7397",NA,"9418","8649","9778","4405","12750","13166","6662",NA,"10571","5658","8742",NA
"678","845.5777@8.695006",NA,"792567","874511","1219924","721385","1177440","743637","875325","587591",NA,"1079549","1623314","1727060","696878","762696",NA,"712133","457925","663622","791386","790510","879471","802644","781550","1037308","648588","779108",NA,"749531","371141","782653","614187","638252","555870","347045","947422","316886","410296","1398175","634337","700724","976945","436248","1103971","1427368",NA,"495042","344003"
"679","496.2316@2.9949977","3493","39875","23135","4848","2393","3015","13945","33574","5365","2059","7102","7488","1602","NaN","2485","9407","22048","NaN","2577","3773","3067","165","2089","2337","16124",NA,"4201","4930","2780","19973","49905","2384","464","1795","43104","12155","7670","5836","2097","1437","2957","4091","1048","8878","2277","5672",NA,"7634"
"680","923.4877@7.5239925",NA,"17709","16578","17334",NA,"15896","17984","11612","28079","86506","19644","31321","31517","10863","21532","20961","24703","6546","15233","41583","26504","27877","28932","14520","22534","39240","11919","25694",NA,"26526","26555","18445",NA,"31955","10717","72994","12675","24985","43405",NA,"15930","20363","14469","33010","23743","27821","20207","16004"
"681","740.2171@6.3120055",NA,"16565","16921",NA,NA,"17503","15598","16457","16318","15464","16649","16694","18906","15637","17077","15456","17386","16105","16682",NA,"14533","13842","16186","19121","14489","15584","16685","15286",NA,"16483","14340","16573","16974","14830","13870","15775","17187","16389","14639","15493",NA,"15184","13184","15902","15476",NA,"13947","14955"
"682","868.4737@8.080995","59074",NA,"33273","27546","40208","26230","39794","35903","38174","19033",NA,"28424","25777",NA,"19592","24386","41407","35866","28190","35791","29563","23365","41415","34744","51068","23115","27699",NA,"32387","29825","29389","35775","41040","37451","29790","34368","29635","35016","22940","28061","40170","30801","27873",NA,"20778","35973",NA,"48091"
"683","761.4784@0.23800023","14313","9171","10435","11604","11804",NA,NA,"11155","10976","8969","9685",NA,"9263","10391","10907","7885","10757","11425","7392","10708","8900","10530","8858","10439","11420","9676","9298","7688","13536","9630","8889","10351","11199","11893","9756","11993","11058",NA,"11048","11193","10800","10998","8045","10810","11030",NA,"12499","11766"
"684","764.5669@8.619996","107576","86177","53411","80403","87922",NA,"30763","71355","71187","62806","67297","71627","58478","54885","70213","60048","79434","59772",NA,"94843","84171",NA,"82996","56650","72519","72274","43486","84976","62844","48856","45894","72464","82139","68313","66962","79747","77120","56742","58136","58347","50988","58095","78051","70193","31270","61734","67499","94690"
"685","584.5004@6.989008","3903","1420","7580","5557","3918","3038","3638","1151","3856","464","1066",NA,"567","3030","1866",NA,"5375","2402","1869","4997","1401","1782","18272",NA,"8944","1233",NA,NA,"4114","3715","1569","7195","3726","2371","1931","2179","5563","2852","5507","5919","3855","7085","2541","5810","1456","4490","6226","6305"
"686","214.0297@2.8169992","3324","9519","9852","14192","20265","9864","10270","22548","13140","18505","20823",NA,"17303","6481","4338",NA,"21541","16622","1842","5285",NA,"19877","13841",NA,"10033",NA,NA,"10773","7503","4718","7568","7370","12451",NA,"23814","9224","16746",NA,"18840","13497","5726","18910","5631","6539","5344","7153","20211","12036"
"687","465.6497@0.23299985","18555","16346","17973","16850","16727","17985","15815",NA,"19778","16519",NA,"15863","17106","16838","19876","15884","17121","16739","16026","18625","15302","16987",NA,"15784","16212","18650","19019","16364","18280","15952","15831","19686","20245","15860","14976","18149","20918","19247","18514","17747","18239","17312","15823","13846","16145","15514","19163","17801"
"688","545.3593@6.4879994","4388","9869","8223","7382","5596","7421","8476","7975","4921","11760","7889","10564","12019","7572","9026","7795","12465","3677",NA,"7616","8808","7474","7672","8764","5145","10129","7800","6187","5656","8002","6895","9231","5972","8878","2274",NA,"3717","4993","14593","5626","7611","7876","5749",NA,"13098","3083","4302","3528"
"689","929.5411@10.859989","164013","137723","111016","115897","127848",NA,"116023","115197","122707","74972","134418","83340","123436","94255","110808",NA,"123169","91721","117937","133519","103821","86026","31247","122714","124508","109735","86738",NA,"122646","90090","99193","109622","138349","96684","124482","90483","129122","115163","78261","87089","124385","106565",NA,"121101","78036","110200","95711","147745"
"690","600.2585@2.7839975","1817","19320","7814","700","771",NA,"5297","25462","1815","20525","2176","16913","2462",NA,"7376","5367","2711","4385","2365","50738","2872","12148","26285","6290",NA,"2679","NaN","NaN","6423","2138","3425",NA,"1045","6516","710","16185","12042",NA,NA,"1841",NA,"1074","4853","4264","1793","7954","17129","1525"
"691","651.447@7.5460033","17051","9373",NA,"3808","7325","5346","4667","15763","4362","10168","5709","4529","6451","7881",NA,"9303","11669","7932","4920",NA,NA,"5457","10374","10242",NA,"6630","6306","5777","6302","4907","5143","5873","5839","33382","3624","5371","5389","6158","7541","5801","12896","7264","4960","14010","8098","5827","7862","12228"
"692","854.5657@8.643996","44077","60016","55381","60009","58092",NA,"52883","44503","76098","72697","77395","2870","81840","27662","34647","29089","54466",NA,"58126","65805","71544","50081","74490","70040","61681","81117","61930","80131","59626","85723","59462","51207","63339","68278",NA,"79833",NA,"48023",NA,"43504","62245","44300","43480","86592","74052","50343","48110","39813"
"693","378.1495@6.789997","37620","15785","19051","39368","30322","27307","26117","18113","9969","14266","18615","26423","7943","22788","14400","22594","30602","28132",NA,NA,"15403","15147","35900","25376","68971","10812","29113","35052","40711",NA,"22483","47259","15257","26763","26395",NA,"36791",NA,"9939","20478","15773",NA,"30218","40586","11130","35644","53574","28001"
"694","152.0472@1.6080011","19319","NaN","12885",NA,NA,"2680","NaN","2096","3362","19246","151171","1210",NA,"4288","16088","1114",NA,"29859","NaN","15117","2717","1854","13846","4289",NA,"NaN","274941","8422","32673","NaN","1644","4899","4058","12676","4701","652","135453","NaN","902","NaN",NA,"74962",NA,"3016","12556","3935","NaN","621"
"695","351.1587@2.3419986","9552","15001","18372","2808","7711","11251","6823","16895","7621","12633","7149",NA,"2930","16787","8027","3325","7831","14276","7525","6025","7112","10188",NA,"4017","8896","5592","5246","2215","5667","9461","8260","5516","6679","9091","10633",NA,"4472","10288","4018","4972","15121","4372","8056","10836","4570","2870","7935","6028"
"696","734.4234@7.598006","16696",NA,"14322","21182","14572","13502","17999",NA,"9604",NA,"6581","12812","4714","14649","10943","9396",NA,"8796","13415","13341","10881","9749","24458","10141","18611","5360","14508","18668","17626","14993",NA,"18804","10555","11307","13814","15890","19371","19349","8232","10193","13139","15703","13517","12132","7347","17967","21789","15559"
"697","849.4627@10.067005","18601","19829","24887","13656","8617","12764","10609","10363","12159","3608","12694","5518","16047",NA,"31804","7036","15252","23694","14089","28463",NA,"9017","9946","6687",NA,"10561","17331","32129",NA,"7345","11821","15540",NA,"10415",NA,NA,"17896","14819","8704",NA,"18477","12643","17900","9199",NA,"21176","16921","16581"
"698","181.0742@0.26300034","27082","21247","23365","27132","30766","41088","17194","17534","22890",NA,"21886","26960","23416","22123","19416","27922","24547","22607","28177",NA,NA,"25901","23612","26371","25441","26892","12224","21660","29143","35984","20206","23736","20051","25452","19534","30561","16879",NA,"19325","26229","27828","24903","27808","20074","23105","21355","22881","24047"
"699","841.5816@9.943986","86200",NA,"30702","34834","58982","27946","77689","50151","53588","14462",NA,"18191","44990","34380","56612","57310","41077","59710","40076","56990","62435","19742","45217","31076",NA,"48853","40276","28045","42222","23081","40927","51619","50435","52085","69047","33058","74229","41219","41416","28087","42955","56814",NA,"49713","58936","20936","57626","76084"
"700","937.5526@10.228012","70081","48582",NA,"38345","53493","35214","28882","31689","51461","17918","41612","22955","32597","37851","37852","23432","29948","51920","55500","56678","43191","20056","46237","31134",NA,"28435","45468","50782","23877","39538","33516","38169","66529","45193","49187","45269","61249","45361","20093","34345","35392","28143","50509","41524","12764","41137","51029","69552"
"701","882.4883@8.448993","35961","22818","17277","18469","27160","15996","30973","25052","26606","18293","21522","18394","23929","19741","14745","9388","23096","22667","21090","24552","19791","14627","31036","24309","28273","17299","13891","18580","23394","18627","17184","28330","27544",NA,"23573","22470","22855","22145","16297","9862","19079","25704","23533","23625","17044",NA,NA,"30199"
"702","651.3052@5.867003","35148","57386","53769","38818","60476","44239","40647","36675","45664","61138","60903","49908","58297","53541","43479","56074","58463",NA,"31695","41777","53398","42642","65813","46573","48896","41000","31448","43785","49411","35810","41650","36230","34832","64743","32209","26619","37299","44168","49909","39494","49589","48470","35525","57633","57476","42183","42737",NA
"703","442.3653@6.7210035","4294","8979","6740","15900","4088","7483",NA,"8368","3462","6578","5983","5260","9810","6329","21621","7559","7342","3054","13307","2666","9060","16879","5507","6987","3936","10893","4037","14726","4793","6216","6543","7962",NA,"9630","7288","3840","13825","7622","16435","7147","8907","1947",NA,"3241","6907","8418","7276",NA
"704","839.568@9.461991","250787","142414","141679",NA,"133320","91406","112513","153247","153717","63659","129026","80013","107435","112979","134649","65068","115314","164740","152315","122529","134377","64943","153455",NA,"165420","81618","125998",NA,"127990","80648","82223","126281","156461","198483",NA,NA,"139262","138348","39515",NA,"141587",NA,"160839","122618",NA,"114888","171546","198937"
