# Notes : Entities from the selected region(s) of the Venn diagram:
#EL1 ^ EL2
#
#EL1 : FF_blank_100%
#    Source Experiment : AH_PoroshellC18_positive
#    Source Organism : Homo sapiens
#    Source Technology : MassHunterQual.UNIDENTIFIED_COMPOUNDS.AH_PoroshellC18_positive_2017_Aug_08_14_42_33
#
#EL2 : FF80%_K_vs_PEX
#    Source Experiment : AH_PoroshellC18_positive
#    Source Organism : Homo sapiens
#    Source Technology : MassHunterQual.UNIDENTIFIED_COMPOUNDS.AH_PoroshellC18_positive_2017_Aug_08_14_42_33
#
#
# Technology : MassHunterQual.UNIDENTIFIED_COMPOUNDS.AH_PoroshellC18_positive_2017_Aug_08_14_42_33
# Owner : gxuser
# Created On : Fri Dec 08 11:36:34 CET 2017
Compound	Number Passed ( FF_blank_100% )	Number Passed ( FF80%_K_vs_PEX )	K_10(raw)	K_17(raw)	K_19(raw)	K_2(raw)	K_21(raw)	K_22(raw)	K_3(raw)	K_35(raw)	K_36(raw)	K_48(raw)	K_51(raw)	K_52(raw)	K_59(raw)	K_6(raw)	K_61(raw)	K_66(raw)	K_68(raw)	K_70(raw)	K_83(raw)	PEX_30(raw)	PEX_304(raw)	PEX_307(raw)	PEX_308(raw)	PEX_309(raw)	PEX_310(raw)	PEX_312(raw)	PEX_314(raw)	PEX_317(raw)	PEX_320(raw)	PEX_321(raw)	PEX_34(raw)	PEX_69(raw)	PEX_8(raw)	PEX_84(raw)	QC_1(raw)	QC_10(raw)	QC_2(raw)	QC_3(raw)	QC_4(raw)	QC_5(raw)	QC_6(raw)	QC_7(raw)	QC_8(raw)	QC_9(raw)
282.16788@3.6204844	1	2	104347.0	155000.0	218383.0	80319.0	95623.0	92575.0	195080.0	192133.0	94599.0	80764.0	62357.0	165229.0	128644.0	173688.0	82169.0	181951.0	170318.0	267763.0	75257.0	203628.0	43123.0	48494.0	111331.0	84641.0	206597.0	1.0	1082237.0	594663.0	124880.0	165492.0	181410.0	159659.0	49070.0	146644.0	48957.0	94908.0	48815.0	1.0	42920.0	43008.0	100417.0	99298.0	94131.0	93069.0
137.08427@3.7036567	1	2	593231.0	602228.0	992990.0	468215.0	374064.0	514431.0	758203.0	1022838.0	531711.0	423922.0	465923.0	1239528.0	626864.0	1846770.0	583389.0	1014816.0	1144932.0	781346.0	772694.0	916987.0	637705.0	654725.0	986335.0	1168508.0	1093088.0	408369.0	536849.0	407673.0	1070307.0	992515.0	1166716.0	1919224.0	771661.0	1148081.0	359912.0	616097.0	340620.0	322636.0	317038.0	301326.0	612542.0	622129.0	625275.0	636073.0
226.1686@3.7441795	1	2	107444.0	123800.0	233286.0	138909.0	116046.0	167269.0	336494.0	163415.0	120796.0	116529.0	130371.0	537051.0	87133.0	194350.0	113300.0	247559.0	242090.0	323876.0	133747.0	176322.0	129676.0	121743.0	236874.0	263754.0	214855.0	109206.0	184852.0	118567.0	509003.0	237279.0	223227.0	293354.0	139311.0	421447.0	69607.0	122089.0	35119.0	62499.0	58281.0	59626.0	120649.0	116323.0	119832.0	128149.0
326.19397@3.7814157	1	2	84652.0	75593.0	134564.0	49463.0	68235.0	57583.0	112421.0	131377.0	57659.0	55763.0	35080.0	76059.0	72869.0	107732.0	45644.0	96297.0	117869.0	138969.0	36474.0	131169.0	24815.0	24507.0	47922.0	51170.0	82768.0	1.0	560573.0	456722.0	47427.0	62729.0	105487.0	95481.0	29332.0	86711.0	28909.0	60348.0	27108.0	27379.0	27367.0	24401.0	61707.0	66015.0	64218.0	61099.0
343.2208@3.7813337	1	2	139681.0	125278.0	219979.0	85148.0	116061.0	99412.0	185502.0	206096.0	98745.0	99432.0	65745.0	133145.0	126881.0	191800.0	80603.0	175233.0	196962.0	224909.0	70528.0	215249.0	1.0	50331.0	81555.0	93423.0	132857.0	34545.0	881359.0	725547.0	90607.0	112669.0	176299.0	154963.0	58860.0	150997.0	56974.0	100793.0	53084.0	54832.0	52873.0	48940.0	107766.0	108586.0	106605.0	110104.0
113.08399@3.7937763	1	2	3128039.0	2719366.0	5942302.0	2703781.0	1308478.0	3983848.0	7094013.0	6467313.0	3293783.0	2733223.0	2300572.0	1.0266384E7	2858826.0	7948685.0	2869203.0	8063032.0	7012797.0	7489750.0	1842755.0	6195259.0	2730803.0	3256740.0	3143119.0	7791163.0	7045448.0	2968625.0	3493792.0	2889502.0	7392872.0	6809706.0	7055646.0	1.252841E7	3561851.0	8588255.0	2428829.0	4923536.0	2268011.0	2215880.0	2064226.0	2100209.0	4917857.0	4883566.0	4919777.0	5018159.0
348.27853@3.811343	1	2	155097.0	133958.0	225547.0	111469.0	80645.0	89349.0	205809.0	157631.0	123960.0	89204.0	96345.0	310823.0	107521.0	334745.0	98443.0	252796.0	218989.0	172577.0	156329.0	169920.0	107875.0	128440.0	209223.0	270323.0	226218.0	114806.0	136465.0	74230.0	224305.0	199271.0	222540.0	426873.0	140459.0	321569.0	118904.0	207158.0	110433.0	103574.0	101325.0	100376.0	205148.0	200833.0	204644.0	213277.0
129.15195@3.912313	1	2	1.4358585E7	1.3904148E7	1.7682534E7	1.3502464E7	7384591.0	1.6975802E7	2.3249536E7	1.919034E7	1.2150968E7	1.2534959E7	1.764304E7	3.8206164E7	1.6303959E7	2.8484452E7	1.3908059E7	2.4255906E7	2.6281596E7	2.3907226E7	1.8561982E7	1.7527728E7	1.0999212E7	1.0823453E7	2.4703218E7	2.4943208E7	2.5016888E7	8488218.0	1.1276862E7	8056842.0	2.5870824E7	1.9930848E7	2.3662218E7	4.950854E7	1.617198E7	3.9762936E7	1.2794243E7	2.1176288E7	1.1663439E7	1.1225481E7	1.0664541E7	1.0520333E7	2.1075344E7	2.0456754E7	2.0782324E7	2.1518866E7
370.2202@3.9180315	1	2	57418.0	45594.0	107171.0	19284.0	62880.0	49449.0	87406.0	99879.0	41816.0	47337.0	29830.0	57834.0	46850.0	82598.0	26310.0	78253.0	85730.0	109945.0	23399.0	107247.0	14241.0	15534.0	25055.0	34908.0	55457.0	11039.0	207583.0	376549.0	23276.0	31888.0	81747.0	81124.0	22968.0	56047.0	17787.0	43731.0	17460.0	18214.0	18036.0	16435.0	45283.0	44864.0	45696.0	44468.0
387.2469@3.9180899	1	2	167594.0	137753.0	306512.0	103104.0	164874.0	133152.0	250400.0	269384.0	128941.0	139075.0	88485.0	157183.0	143162.0	228977.0	87621.0	216749.0	253707.0	312258.0	76188.0	285773.0	47976.0	53882.0	85338.0	103722.0	138615.0	38736.0	535359.0	1067620.0	91283.0	113433.0	219275.0	187264.0	72359.0	138230.0	64558.0	124184.0	59797.0	60983.0	56820.0	54439.0	129225.0	126285.0	126028.0	123434.0
219.1264@3.9849687	1	2	152148.0	85036.0	147939.0	118741.0	58163.0	1.0	215015.0	86685.0	84078.0	75966.0	88043.0	215399.0	104984.0	437939.0	79918.0	284033.0	161772.0	170918.0	102534.0	103242.0	88011.0	102298.0	194890.0	243669.0	120512.0	98080.0	120333.0	43698.0	150779.0	161534.0	159222.0	421330.0	128978.0	180331.0	152760.0	275701.0	142915.0	140661.0	133763.0	129235.0	260431.0	276991.0	282493.0	274554.0
