# Notes : Entities from the selected region(s) of the Venn diagram:
#EL2 - (EL1 ^ EL2)
#
#EL1 : FF_blank_100%
#    Source Experiment : AH_PoroshellC18_positive
#    Source Organism : Homo sapiens
#    Source Technology : MassHunterQual.UNIDENTIFIED_COMPOUNDS.AH_PoroshellC18_positive_2017_Aug_08_14_42_33
#
#EL2 : FF80%_K_vs_PEX
#    Source Experiment : AH_PoroshellC18_positive
#    Source Organism : Homo sapiens
#    Source Technology : MassHunterQual.UNIDENTIFIED_COMPOUNDS.AH_PoroshellC18_positive_2017_Aug_08_14_42_33
#
#
# Technology : MassHunterQual.UNIDENTIFIED_COMPOUNDS.AH_PoroshellC18_positive_2017_Aug_08_14_42_33
# Owner : gxuser
# Created On : Fri Dec 08 11:35:43 CET 2017
Compound	Number Passed ( FF80%_K_vs_PEX )	K_10(raw)	K_17(raw)	K_19(raw)	K_2(raw)	K_21(raw)	K_22(raw)	K_3(raw)	K_35(raw)	K_36(raw)	K_48(raw)	K_51(raw)	K_52(raw)	K_59(raw)	K_6(raw)	K_61(raw)	K_66(raw)	K_68(raw)	K_70(raw)	K_83(raw)	PEX_30(raw)	PEX_304(raw)	PEX_307(raw)	PEX_308(raw)	PEX_309(raw)	PEX_310(raw)	PEX_312(raw)	PEX_314(raw)	PEX_317(raw)	PEX_320(raw)	PEX_321(raw)	PEX_34(raw)	PEX_69(raw)	PEX_8(raw)	PEX_84(raw)	QC_1(raw)	QC_10(raw)	QC_2(raw)	QC_3(raw)	QC_4(raw)	QC_5(raw)	QC_6(raw)	QC_7(raw)	QC_8(raw)	QC_9(raw)
565.8814@0.8942346	2	66364.0	60530.0	132236.0	69731.0	59686.0	71543.0	141396.0	139148.0	66841.0	66520.0	54220.0	143696.0	71894.0	133446.0	62350.0	148304.0	142308.0	136399.0	66028.0	138473.0	72102.0	68311.0	138482.0	151631.0	133128.0	62752.0	68739.0	67370.0	154233.0	148317.0	147609.0	135473.0	67041.0	152561.0	74054.0	141300.0	73838.0	71549.0	64418.0	60825.0	145534.0	140769.0	141663.0	145735.0
497.89395@0.89429706	2	71213.0	66571.0	146346.0	74222.0	62176.0	78488.0	152496.0	154098.0	66885.0	74254.0	57577.0	159125.0	70974.0	144955.0	68583.0	159656.0	153662.0	148258.0	72133.0	154085.0	77374.0	74025.0	153938.0	150893.0	151616.0	66103.0	73236.0	69496.0	164766.0	160989.0	163021.0	149418.0	69558.0	165948.0	80604.0	153592.0	77381.0	72760.0	70035.0	65954.0	161301.0	151182.0	152035.0	155089.0
326.0443@0.89460385	2	51558.0	41811.0	91327.0	52956.0	1.0	39200.0	93185.0	104683.0	1.0	50112.0	28579.0	85520.0	1.0	125848.0	41852.0	85725.0	96664.0	115620.0	36123.0	82594.0	38308.0	53971.0	76423.0	78605.0	89100.0	41160.0	1.0	1.0	85077.0	83444.0	102525.0	94962.0	45885.0	73073.0	40736.0	74034.0	1.0	36932.0	1.0	1.0	77611.0	74975.0	75323.0	71238.0
190.07005@0.89885706	2	239909.0	185563.0	366533.0	225216.0	181065.0	166176.0	368702.0	411193.0	133878.0	212484.0	140007.0	338273.0	186881.0	521379.0	183437.0	336529.0	402242.0	493654.0	165031.0	342359.0	172355.0	239224.0	325431.0	304757.0	385296.0	179040.0	108899.0	174451.0	328132.0	335390.0	417361.0	374295.0	190256.0	277355.0	179319.0	289310.0	155818.0	150294.0	149798.0	140900.0	301418.0	290055.0	289055.0	285925.0
155.06982@0.95896333	2	121408.0	116831.0	89856.0	132755.0	120072.0	129459.0	234569.0	236579.0	96452.0	153331.0	110139.0	268135.0	145659.0	307085.0	127091.0	206511.0	306025.0	216861.0	1.0	267250.0	1.0	110554.0	242164.0	190663.0	213212.0	130102.0	102069.0	1.0	238775.0	296182.0	273955.0	248319.0	150985.0	209506.0	1.0	195741.0	102661.0	1.0	90788.0	90438.0	190427.0	57139.0	1.0	205606.0
174.11218@0.951723	2	1080641.0	1283993.0	2535513.0	1717800.0	1049646.0	1004986.0	1990178.0	2434054.0	897102.0	1353461.0	969681.0	1579253.0	1063349.0	2415427.0	1308376.0	2470876.0	2567572.0	2204214.0	1034642.0	1708214.0	1165736.0	1262518.0	2668268.0	2389405.0	1884562.0	872577.0	1.0	900073.0	1998507.0	1987919.0	2495494.0	2865657.0	1021264.0	1998589.0	1158622.0	2040045.0	1082457.0	1044370.0	991794.0	981979.0	2105723.0	1952696.0	2082162.0	2062101.0
83.03713@0.9637287	1	1.0	1.0	392191.0	1.0	128528.0	121198.0	323228.0	341152.0	1.0	177349.0	126889.0	1.0	1.0	327374.0	173107.0	307017.0	392191.0	402563.0	106916.0	1.0	1.0	132026.0	409464.0	459537.0	251551.0	146195.0	76408.0	137506.0	76418.0	603485.0	473032.0	454225.0	159842.0	293387.0	153660.0	385144.0	139196.0	1.0	136499.0	136541.0	469312.0	448974.0	418218.0	393088.0
103.09977@0.9684093	2	8241458.0	9111560.0	1.9505674E7	9569742.0	8871581.0	1.0141599E7	2.140932E7	1.9785326E7	8354673.0	6957906.0	8859746.0	1.7958052E7	9864441.0	2.3063456E7	5820400.0	1.9598364E7	1.4811903E7	1.7864346E7	9305933.0	1.7144278E7	8111164.0	1.2103768E7	1.7779718E7	1.5727888E7	2.215192E7	7172718.0	8100065.0	9042120.0	1.940369E7	1.4516271E7	1.8060282E7	1.786001E7	7695065.0	1.6991074E7	9697381.0	1.9019742E7	9559784.0	8991855.0	8705698.0	8410978.0	1.8405516E7	1.8190858E7	1.8064686E7	1.877745E7
168.0516@0.98409593	1	1.0	694937.0	1048588.0	623814.0	409626.0	503875.0	15395.0	909186.0	358886.0	783302.0	400225.0	958565.0	677845.0	910350.0	1001824.0	1224903.0	1101349.0	1662457.0	1.0	887437.0	692657.0	695999.0	1.0	1728446.0	837172.0	1.0	1.0	1.0	970582.0	2295313.0	1602215.0	1740904.0	697677.0	1.0	1.0	1861056.0	1.0	669396.0	657438.0	833788.0	1813004.0	1640912.0	1397235.0	16987.0
188.12788@0.97768766	2	142006.0	44057.0	113455.0	90488.0	46937.0	39999.0	166980.0	126697.0	88285.0	217292.0	42256.0	148515.0	76492.0	121979.0	149431.0	117846.0	217783.0	393338.0	87156.0	216678.0	104454.0	91446.0	357255.0	296508.0	88212.0	62977.0	40978.0	55133.0	139649.0	110839.0	234105.0	165164.0	129276.0	151285.0	82407.0	142464.0	70840.0	70479.0	70987.0	74325.0	148288.0	140150.0	145203.0	140481.0
