# Notes : Entity List : FF 80percent QC blank extracted 
#Interpretation : K_PEX
#Experiment : AH_PoroshellC18_negative
#Flag Value: [Present]
#Entities where at least 80.0 percent of samples in any 1 out of 2 conditions have flags in [Present]
# Technology : MassHunterQual.UNIDENTIFIED_COMPOUNDS.AH_PoroshellC18_negative_2017_Aug_09_11_35_19
# Owner : gxuser
# Created On : Fri May 18 16:08:22 CEST 2018
Compound	Number Passed	K_10(raw)	K_17(raw)	K_19(raw)	K_2(raw)	K_21(raw)	K_22(raw)	K_3(raw)	K_35(raw)	K_36(raw)	K_48(raw)	K_51(raw)	K_52(raw)	K_59(raw)	K_6(raw)	K_61(raw)	K_66(raw)	K_68(raw)	K_70(raw)	K_83(raw)	PEX_30(raw)	PEX_304(raw)	PEX_307(raw)	PEX_308(raw)	PEX_309(raw)	PEX_310(raw)	PEX_312(raw)	PEX_314(raw)	PEX_317(raw)	PEX_320(raw)	PEX_321(raw)	PEX_34(raw)	PEX_69(raw)	PEX_8(raw)	PEX_84(raw)	QC_1(raw)	QC_10(raw)	QC_2(raw)	QC_3(raw)	QC_4(raw)	QC_5(raw)	QC_6(raw)	QC_7(raw)	QC_8(raw)	QC_9(raw)
161.84943@0.9660455	2	5622641.0	3779545.0	5367590.0	4766374.0	6429406.0	7148391.0	6877535.0	5470583.0	4714930.0	5572678.0	5920091.0	5229593.0	4865545.0	5876991.0	5744277.0	4764160.0	4723056.0	3435534.0	4431035.0	4617962.0	3533582.0	5728211.0	3796511.0	4319903.0	6875535.0	3996551.0	4961639.0	2904041.0	3819622.0	2876048.0	4052244.0	3719430.0	6947351.0	3660427.0	4620785.0	4644492.0	5112279.0	4909582.0	4806583.0	4965253.0	4356468.0	4474503.0	4701700.0	4157828.0
146.06944@0.9663919	1	1.0	454901.0	502934.0	610842.0	643554.0	496440.0	525994.0	471571.0	1.0	429871.0	556511.0	393336.0	1.0	1.0	307814.0	537896.0	400258.0	302434.0	388561.0	449755.0	394216.0	527776.0	446567.0	409458.0	321137.0	431578.0	345054.0	287949.0	1.0	402315.0	451097.0	454947.0	620363.0	448906.0	1.0	392343.0	1.0	413893.0	420315.0	396318.0	371567.0	358258.0	417826.0	421417.0
956.98035@0.97055036	2	1487020.0	1318011.0	1272135.0	1221056.0	1400020.0	1305279.0	870119.0	1379041.0	722663.0	1.0	1026764.0	1296838.0	1349844.0	1181541.0	772514.0	630982.0	1215194.0	1.0	1256372.0	1048093.0	450351.0	1476896.0	1324863.0	1340347.0	1221376.0	1.0	944769.0	1491065.0	1456152.0	1254471.0	1.0	1240994.0	701465.0	960265.0	1559311.0	1214078.0	1317967.0	1438973.0	1085473.0	940555.0	1148082.0	1043359.0	1278381.0	477523.0
135.90166@0.98268855	2	457092.0	336471.0	216105.0	468548.0	322095.0	395282.0	307204.0	241905.0	251707.0	411805.0	324645.0	237438.0	362083.0	246641.0	331585.0	307003.0	144228.0	340007.0	280466.0	302651.0	383980.0	512727.0	279175.0	278971.0	392136.0	170069.0	287138.0	372036.0	285538.0	1.0	287985.0	283403.0	421289.0	226348.0	368942.0	217763.0	382294.0	293828.0	1.0	1.0	241886.0	235697.0	224969.0	213338.0
166.04842@1.0493261	1	1.0	1669498.0	1.0	68504.0	744892.0	1.0	908950.0	1192064.0	374505.0	1.0	1187704.0	316998.0	83242.0	1.0	1.0	56391.0	1.0	1330640.0	1243801.0	1024109.0	1599601.0	1.0	1.0	27298.0	149484.0	1483523.0	1129688.0	1.0	662162.0	1638955.0	1163433.0	384174.0	994078.0	1523506.0	749143.0	1777370.0	1551887.0	740459.0	1658253.0	1476529.0	692239.0	1692895.0	1845410.0	1841464.0
104.01117@1.0032952	2	253538.0	655133.0	1.0	827067.0	206231.0	481711.0	525804.0	554576.0	598920.0	644633.0	658521.0	958022.0	910054.0	560323.0	450783.0	594982.0	979650.0	1128985.0	495489.0	233362.0	425953.0	405870.0	759250.0	759021.0	110568.0	603873.0	816710.0	906655.0	306683.0	840861.0	547294.0	817211.0	311291.0	1.0	816810.0	966868.0	693334.0	834521.0	773946.0	686734.0	847195.0	751276.0	970245.0	864746.0
164.03194@1.0034443	2	373829.0	923669.0	1.0	1243990.0	308888.0	722516.0	949100.0	827981.0	980639.0	898312.0	963076.0	1874016.0	1400236.0	994147.0	680897.0	1096876.0	1847132.0	1583641.0	718992.0	421743.0	678804.0	631094.0	1389742.0	1451288.0	144345.0	966741.0	1273073.0	1227046.0	485587.0	1324244.0	793807.0	1087299.0	451794.0	330137.0	1551314.0	1646408.0	1093702.0	1053258.0	1230385.0	1089801.0	1228911.0	1120202.0	1785978.0	1784104.0
280.06055@1.0226778	2	1.0	691559.0	1.0	89881.0	115686.0	634999.0	75527.0	344666.0	323379.0	96772.0	157059.0	391193.0	194842.0	1.0	54823.0	78535.0	215813.0	346981.0	703909.0	384099.0	225435.0	297773.0	136645.0	193533.0	55223.0	293753.0	243177.0	122494.0	728252.0	272865.0	633159.0	100552.0	25715.0	692885.0	116239.0	154238.0	116201.0	139560.0	140347.0	126689.0	154359.0	131417.0	159767.0	164661.0
350.04636@1.0509607	1	39898.0	27443.0	1.0	95186.0	1.0	32318.0	27613.0	36550.0	39201.0	88050.0	77558.0	79925.0	69849.0	22284.0	60948.0	46136.0	104050.0	77303.0	1.0	1.0	26072.0	1.0	51336.0	9473.0	1.0	45343.0	70260.0	1.0	1.0	71305.0	25656.0	16713.0	45570.0	1.0	16552.0	85336.0	92593.0	91582.0	91958.0	91822.0	86639.0	86679.0	87176.0	84765.0
322.0514@1.026754	2	32436.0	115134.0	1.0	150727.0	42573.0	113401.0	126557.0	118536.0	124310.0	155870.0	151183.0	199825.0	168467.0	57501.0	82367.0	72028.0	172633.0	144233.0	107787.0	52876.0	96980.0	88978.0	126966.0	128660.0	1.0	130842.0	149649.0	69773.0	52806.0	161540.0	110138.0	104841.0	47841.0	27912.0	110507.0	104133.0	109744.0	113070.0	113340.0	111361.0	112604.0	107328.0	108412.0	101472.0
